model,lead_hours,mae,rmse,bias,n
pred_persist_6h,12,55.12016293279022,73.00364078748474,0.9640190088255262,1473
pred_persist_6h,13,57.20788043478261,75.34078374726516,0.8573369565217391,1472
pred_persist_6h,14,59.166440217391305,77.57108853931285,0.826766304347826,1472
pred_persist_6h,15,61.07065217391305,79.68801257294655,0.7445652173913043,1472
pred_persist_6h,16,62.84714673913044,81.71261693462245,0.6691576086956522,1472
pred_persist_6h,17,64.72776646300068,83.71216809745388,0.615071283095723,1473
pred_persist_6h,18,66.52985074626865,85.64605226545305,0.5447761194029851,1474
pred_persist_6h,19,68.2975543478261,87.63552392921392,0.5788043478260869,1472
pred_persist_6h,20,69.95646258503402,89.50941120283134,0.6680272108843538,1470
pred_persist_6h,21,71.50374404356705,91.26746501455926,0.6678012253233492,1469
pred_persist_6h,22,73.27229407760382,93.10865652383374,0.5670524166099388,1469
pred_persist_6h,23,74.96460176991151,95.00000716563335,0.597004765146358,1469
pred_persist_6h,24,76.36307901907357,96.74889898619453,0.6573569482288828,1468
pred_persist_6h,25,77.66211604095564,98.38456620270375,0.6982935153583618,1465
pred_persist_6h,26,79.01231190150479,99.95448348528369,0.7441860465116279,1462
pred_persist_6h,27,80.37739726027397,101.48375603871798,0.7102739726027397,1460
pred_persist_6h,28,81.62208504801097,102.85430917722277,0.6989026063100137,1458
pred_persist_6h,29,82.8385989010989,104.26487495005999,0.6696428571428571,1456
pred_persist_6h,30,84.09284731774416,105.63322845870034,0.6334250343878954,1454
pred_persist_6h,31,85.31542699724518,106.97779177887482,0.6225895316804407,1452
pred_persist_6h,32,86.46795313576844,108.25572437883211,0.6636802205375603,1451
pred_persist_6h,33,87.58827586206897,109.52434149224703,0.6586206896551724,1450
pred_persist_6h,34,88.7487922705314,110.76896354586042,0.5610766045548654,1449
pred_persist_6h,35,89.88397790055248,112.04530580299287,0.4613259668508287,1448
pred_persist_6h,36,90.99447131997236,113.28536357602808,0.39322736696613686,1447
pred_persist_6h,37,92.04495159059475,114.49346318473032,0.3008298755186722,1446
pred_persist_6h,38,92.93771626297578,115.66781275088759,0.314878892733564,1445
pred_persist_6h,39,93.81786703601108,116.8007958032693,0.3400277008310249,1444
pred_persist_6h,40,94.7040887040887,117.92662482530756,0.3908523908523909,1443
pred_persist_6h,41,95.44452149791955,118.94005121755178,0.5527045769764216,1442
pred_persist_6h,42,96.10617626648161,119.9693778879091,0.7307425399028452,1441
pred_persist_6h,43,96.80555555555556,120.87306817943818,0.9347222222222222,1440
pred_persist_6h,44,97.52119527449618,121.7341656572046,1.2321056289089645,1439
pred_persist_6h,45,98.1481223922114,122.52919098141108,1.5806675938803894,1438
pred_persist_6h,46,98.60125260960334,123.23199206850421,1.9373695198329854,1437
pred_persist_6h,47,99.01044568245125,123.79766885273112,2.3948467966573816,1436
pred_persist_6h,48,99.40278745644599,124.34129439284922,2.753310104529617,1435
pred_persist_6h,49,99.85006973500697,124.93701341946561,2.965829846582985,1434
pred_persist_6h,50,100.13468248429868,125.45086031233653,3.1493370551291,1433
